,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB
1607130720314.0,5063.135,19.548730759029663,522.50398646109,18.982,0.0,0.0,5795.817,13.38
1607130720822.0,5063.135,15.586150199766896,523.1599864440919,19.068,0.0,0.0,5795.817,12.73
1607130721329.0,5062.959,18.492042609892927,524.4419864108733,19.164,0.0,0.0,5795.817,11.45
1607130721838.0,5062.959,16.114494274335264,525.0539863950153,19.249,0.0,0.0,5795.817,10.84
1607130722346.0,5062.778,17.699526498040374,526.0819863683784,19.347,0.0,0.0,5795.817,9.81
1607130722853.0,5062.778,17.699526498040374,526.5219863569772,19.347,0.0,0.0,5795.817,9.37
1607130723360.0,5062.596,19.020386684461297,526.9659863454725,19.53,0.0,0.0,5795.817,8.92
1607130723867.0,5062.596,18.492042609892927,526.9839863450061,19.621,0.0,0.0,5795.817,8.91
1607130724374.0,5062.407,18.492042609892927,526.621986354386,19.728,0.0,0.0,5795.817,9.27
1607130724883.0,5062.216,17.699526498040374,525.875986373716,19.812,0.0,0.0,5795.817,10.01
1607130725390.0,5062.216,19.020386684461297,524.5419864082821,19.916,0.0,0.0,5795.817,11.35
1607130725898.0,5062.216,19.020386684461297,523.8899864251765,20.015,0.0,0.0,5795.817,12.0
1607130726405.0,5062.013,13.472773901493417,522.4499864624892,20.093,0.0,0.0,5795.817,13.44
1607130726812.0,5062.013,17.699526498040374,521.8899864769996,20.173,0.0,0.0,5795.817,14.0
1607130727324.0,5061.855,16.642838348903634,520.7539865064352,20.264,0.0,0.0,5795.817,15.13
1607130727832.0,5061.677,17.699526498040374,520.3479865169553,20.351,0.0,0.0,5795.817,15.54
1607130728340.0,5061.677,18.492042609892927,520.2759865188209,20.433,0.0,0.0,5795.817,15.61
1607130728848.0,5061.677,19.020386684461297,520.4479865143642,20.514,0.0,0.0,5795.817,15.44
1607130729355.0,5061.515,19.020386684461297,520.7339865069536,20.595,0.0,0.0,5795.817,15.16
1607130729859.0,5061.515,16.114494274335264,521.611986484203,20.682,0.0,0.0,5795.817,14.28
1607130730368.0,5061.346,19.020386684461297,522.0759864721801,20.77,0.0,0.0,5795.817,13.81
1607130730877.0,5061.17,19.020386684461297,524.3439864134126,20.947,0.0,0.0,5795.817,11.55
1607130731385.0,5061.17,19.020386684461297,524.6819864046545,21.042,0.0,0.0,5795.817,11.21
1607130731893.0,5060.986,14.001117976061785,525.0899863940826,21.122,0.0,0.0,5795.817,10.8
1607130732401.0,5060.986,18.492042609892927,525.183986391647,21.205,0.0,0.0,5795.817,10.7
1607130732808.0,5060.735,17.171182423472004,524.8899863992649,21.293,0.0,0.0,5795.817,11.0
1607130733315.0,5060.735,17.171182423472004,524.7419864030999,21.293,0.0,0.0,5795.817,11.15
1607130733823.0,5060.555,18.492042609892927,524.3919864121689,21.474,0.0,0.0,5795.817,11.5
1607130734330.0,5060.555,18.492042609892927,524.2439864160038,21.474,0.0,0.0,5795.817,11.64
1607130734837.0,5060.555,17.699526498040374,523.9719864230517,21.559,0.0,0.0,5795.817,11.92
1607130735345.0,5060.387,13.472773901493417,523.8119864271976,21.641,0.0,0.0,5795.817,12.08
1607130735852.0,5060.387,18.492042609892927,523.5579864337791,21.729,0.0,0.0,5795.817,12.33
1607130736360.0,5060.218,17.171182423472004,523.5979864327426,21.81,0.0,0.0,5795.817,12.29
1607130736868.0,5060.218,19.020386684461297,523.407986437666,21.889,0.0,0.0,5795.817,12.48
1607130737374.0,5060.059,19.020386684461297,523.4179864374067,21.97,0.0,0.0,5795.817,12.47
1607130737881.0,5060.059,16.114494274335264,523.1639864439883,22.145,0.0,0.0,5795.817,12.72
1607130738387.0,5059.883,17.699526498040374,522.9139864504662,22.237,0.0,0.0,5795.817,12.98
1607130738893.0,5059.703,17.171182423472004,522.8219864528501,22.325,0.0,0.0,5795.817,13.07
1607130739400.0,5059.703,18.492042609892927,522.5819864590688,22.408,0.0,0.0,5795.817,13.31
1607130739807.0,5059.531,19.020386684461297,522.6139864582398,22.498,0.0,0.0,5795.817,13.27
1607130740316.0,5059.531,17.699526498040374,522.9859864486006,22.579,0.0,0.0,5795.817,12.9
1607130740824.0,5059.531,12.151913715072494,523.1219864450766,22.667,0.0,0.0,5795.817,12.77
1607130741328.0,5059.361,18.492042609892927,523.3159864400498,22.759,0.0,0.0,5795.817,12.57
1607130741878.0,5059.361,17.171182423472004,523.409986437614,22.848,0.0,0.0,5795.817,12.48
1607130742386.0,5059.18,19.020386684461297,523.9199864243991,22.94,0.0,0.0,5795.817,11.97
1607130742894.0,5059.18,19.020386684461297,524.1139864193723,22.94,0.0,0.0,5795.817,11.78
1607130743301.0,5059.008,12.944429826925049,524.427986411236,23.111,0.0,0.0,5795.817,11.46
1607130743809.0,5059.008,17.699526498040374,524.2139864167812,23.111,0.0,0.0,5795.817,11.68
1607130744324.0,5058.828,17.699526498040374,524.563986407712,23.28,0.0,0.0,5795.817,11.33
1607130744832.0,5058.828,17.171182423472004,524.4159864115471,23.361,0.0,0.0,5795.817,11.47
1607130745340.0,5058.666,18.492042609892927,524.7019864041363,23.441,0.0,0.0,5795.817,11.19
1607130745848.0,5058.666,19.020386684461297,524.4819864098367,23.53,0.0,0.0,5795.817,11.41
1607130746356.0,5058.498,12.151913715072494,524.3939864121171,23.611,0.0,0.0,5795.817,11.5
1607130746864.0,5058.498,19.548730759029663,524.1599864181803,23.709,0.0,0.0,5795.817,11.73
